classification,candidate_score,series_number,series_description,protocol_name,sequence_name,modality,manufacturer,manufacturer_model,magnetic_field_strength,mr_acquisition_type,image_type,instance_file_count,total_frame_count,rows,columns,pixel_spacing,slice_thickness,spacing_between_slices,unique_slice_position_count,estimated_volume_count_from_slices,raw_b_value_measurement_count,clustered_b_values,b0_measurement_count,nonzero_b_value_count,unique_nonzero_gradient_direction_count,phase_encoding_direction,diffusion_metadata_sources,classification_reasons,series_uid
ANATOMICA_T1_PROBABLE,-8,1976,TRACTO CORTICOESPINAL,t1 spc vol sag,,MR,Siemens Healthineers,syngo.via.VB80F,,,"['DERIVED', 'SECONDARY']",22,22,918,637,,0.0,,0,,0,[],0,0,0,,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.05.8.15.102457.30000025102307455326500000264
OTRA_SERIE,0,1,AAHScout,AAHScout,*fl3d1_ns,MR,SIEMENS,Skyra,3.0,3D,"['ORIGINAL', 'SECONDARY', 'M', 'ND', 'NORM']",128,128,160,160,"[1.625, 1.625]",1.6000000238419,,128,1.0,0,[],0,0,0,ROW,[],[],1.2.840.113704.7.32.0.2.19.45286.2025102206253757334200753.0.0.0
OTRA_SERIE,0,15,ep2d_pace_MOTOR DERECHA,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['ORIGINAL', 'SECONDARY', 'FMRI', 'NONE', 'ND', 'NORM', 'MOSAIC']",80,80,630,632,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,80.0,0,[],0,0,0,COL,[],[],1.2.840.113704.7.32.0.2.19.45286.2025102206382052411409894.0.0.0
OTRA_SERIE,0,22,ep2d_pace_MOTOR IZQUIERDA,ep2d_pace_MOTOR IZQUIERDA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['ORIGINAL', 'SECONDARY', 'FMRI', 'NONE', 'ND', 'NORM', 'MOSAIC']",80,80,630,632,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,80.0,0,[],0,0,0,COL,[],[],1.2.840.113704.7.32.0.2.19.45286.2025102206441211360432982.0.0.0
OTRA_SERIE,0,29,ep2d_pace_170 RESTING,ep2d_pace_170 RESTING,*epfid2d1_85,MR,SIEMENS,Skyra,3.0,2D,"['ORIGINAL', 'SECONDARY', 'M', 'ND', 'NORM', 'MOSAIC']",170,170,564,564,"[2.19148945808, 2.19148945808]",3.0,3.9000000375425,1,170.0,0,[],0,0,0,COL,[],[],1.2.840.113704.7.32.0.2.19.45286.2025102206484346633256064.0.0.0
OTRA_SERIE,0,30,MoCoSeries,ep2d_pace_170 RESTING,*epfid2d1_85,MR,SIEMENS,Skyra,3.0,2D,"['ORIGINAL', 'SECONDARY', 'M', 'ND', 'NORM', 'MOCO', 'MOSAIC']",170,170,564,564,"[2.19148945808, 2.19148945808]",3.0,3.9000000375425,1,170.0,0,[],0,0,0,COL,[],[],1.2.840.113704.7.32.0.2.19.45286.2025102206484343894956062.0.0.0
OTRA_SERIE,0,5,t2 tse axial,t2 tse axial,*tse2d1_20,MR,SIEMENS,Skyra,3.0,2D,"['ORIGINAL', 'SECONDARY', 'M', 'NORM', 'DIS2D']",33,33,512,512,"[0.44921875, 0.44921875]",4.0,5.2,33,1.0,0,[],0,0,0,ROW,[],[],1.2.840.113704.7.32.0.2.19.45286.2025102206291890057702482.0.0.0
OTRA_SERIE,0,7,gre_field_mapping,gre_field_mapping,*fm2d2r,MR,SIEMENS,Skyra,3.0,2D,"['ORIGINAL', 'SECONDARY', 'P', 'ND']",47,47,64,64,"[3.4375, 3.4375]",3.0,3.9,47,1.0,0,[],0,0,0,ROW,[],[],1.2.840.113704.7.32.0.2.19.45286.2025102206351985863603633.0.0.0
OTRA_SERIE,0,7,gre_field_mapping - PR,gre_field_mapping,*fm2d2r,MR,SIEMENS,Skyra,3.0,2D,"['ORIGINAL', 'SECONDARY', 'P', 'ND']",47,47,64,64,"[3.4375, 3.4375]",3.0,3.9,47,1.0,0,[],0,0,0,ROW,[],[],1.2.840.113704.7.32.0.5.2.19.45286.30000025102210543100100000002
OTRA_SERIE,0,8,ep2d_pace_MOTOR DERECHA,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['ORIGINAL', 'SECONDARY', 'FMRI', 'NONE', 'ND', 'NORM', 'MOSAIC']",20,20,630,632,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,20.0,0,[],0,0,0,COL,[],[],1.2.840.113704.7.32.0.2.19.45286.2025102206363299348703930.0.0.0
OTRA_SERIE,-8,10,MoCoSeries,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'FMRI', 'ND', 'NORM', 'MOCO', 'MOSAIC']",20,20,630,632,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,20.0,0,[],0,0,0,COL,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206363296548703922.0.0.0
OTRA_SERIE,-8,11,intermediate t-Map,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'FMRI', 'TTEST', 'ND', 'NORM', 'MOCO', 'MOSAIC']",1,1,630,632,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,1.0,0,[],0,0,0,COL,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206363296554503926.0.0.0
OTRA_SERIE,-8,12,Design,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'FMRI', 'DESIGN', 'ND', 'NORM', 'MOCO']",1,1,64,172,"[0.0010000000475, 0.0010000000475]",0.001,3.749999978856,1,1.0,0,[],0,0,0,COL,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206363296555103929.0.0.0
OTRA_SERIE,-8,13,EvaSeries_GLM,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'FMRI', 'TTEST', 'ND', 'NORM', 'MOCO', 'MOSAIC', 'GLM']",1,1,630,632,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,1.0,0,[],0,0,0,COL,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206364887531104221.0.0.0
OTRA_SERIE,-8,14,Mean_&_t-Maps,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'FMRI', 'ND', 'NORM', 'MOCO', 'MOSAIC', 'MEAN']",3,3,630,632,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,3.0,0,[],0,0,0,COL,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206364887532104222.0.0.0
OTRA_SERIE,-8,16,StartFMRI,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'FMRI', 'ND', 'NORM', 'MOCO', 'DUMMY IMAGE']",1,1,16,16,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,1.0,0,[],0,0,0,COL,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206382049500109888.0.0.0
OTRA_SERIE,-8,17,MoCoSeries,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'FMRI', 'ND', 'NORM', 'MOCO', 'MOSAIC']",80,80,630,632,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,80.0,0,[],0,0,0,COL,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206382049496109886.0.0.0
OTRA_SERIE,-8,18,intermediate t-Map,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'FMRI', 'TTEST', 'ND', 'NORM', 'MOCO', 'MOSAIC']",61,61,630,632,"[2.44444441795, 2.44444441795]",3.0,3.749999978856,1,61.0,0,[],0,0,0,COL,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206382049500709890.0.0.0
OTRA_SERIE,-8,19,Design,ep2d_pace_MOTOR DERECHA,*epfid2d1_81,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'FMRI', 'DESIGN', 'ND', 'NORM', 'MOCO']",1,1,80,172,"[0.0010000000475, 0.0010000000475]",0.001,3.749999978856,1,1.0,0,[],0,0,0,COL,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206382049501209893.0.0.0
OTRA_SERIE,-8,2,AAHScout_MPR_sag,AAHScout,*fl3d1_ns,MR,SIEMENS,Skyra,3.0,3D,"['DERIVED', 'SECONDARY', 'MPR', 'ND', 'NORM']",5,5,162,164,"[1.60000002384, 1.60000002384]",1.6000000238419,,5,1.0,0,[],0,0,0,,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206254172507201822.0.0.0
